feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC,_row
Cpne1,Group,0.0323,0.1291,T4400,DESeq2,DMSO vs T4400,0.88,-0.1844,Cpne1
Cpne2,Group,0.4921,0.6898,DMSO,DESeq2,DMSO vs T4400,1.0519,0.073,Cpne2
Cpne3,Group,0.418,0.6298,DMSO,DESeq2,DMSO vs T4400,1.0945,0.1303,Cpne3
Cpne5,Group,0.5425,0.7271,T4400,DESeq2,DMSO vs T4400,0.797,-0.3273,Cpne5
Cpne7,Group,0.1151,0.2895,DMSO,DESeq2,DMSO vs T4400,2.0141,1.0101,Cpne7
Cpne8,Group,0.7287,0.8532,DMSO,DESeq2,DMSO vs T4400,1.0222,0.0316,Cpne8
Cpox,Group,0.0006,0.0104,DMSO,DESeq2,DMSO vs T4400,1.2843,0.361,Cpox
Cpped1,Group,0.3335,0.5541,DMSO,DESeq2,DMSO vs T4400,1.0389,0.055,Cpped1
Cpq,Group,0.8757,0.9412,DMSO,DESeq2,DMSO vs T4400,1.0082,0.0118,Cpq
Cpsf1,Group,0.0624,0.1972,T4400,DESeq2,DMSO vs T4400,0.9425,-0.0855,Cpsf1
Cpsf2,Group,0.8194,0.9091,DMSO,DESeq2,DMSO vs T4400,1.0109,0.0156,Cpsf2
Cpsf3,Group,0.2738,0.4957,T4400,DESeq2,DMSO vs T4400,0.9521,-0.0707,Cpsf3
Cpsf3l,Group,0.4281,0.6377,T4400,DESeq2,DMSO vs T4400,0.9495,-0.0748,Cpsf3l
Cpsf4,Group,0.1962,0.405,T4400,DESeq2,DMSO vs T4400,0.9176,-0.1241,Cpsf4
Cpsf6,Group,0.2278,0.4428,T4400,DESeq2,DMSO vs T4400,0.9305,-0.1038,Cpsf6
Cpsf7,Group,0.2052,0.4164,T4400,DESeq2,DMSO vs T4400,0.9568,-0.0638,Cpsf7
Cpt1a,Group,0.7988,0.8972,DMSO,DESeq2,DMSO vs T4400,1.0245,0.035,Cpt1a
Cpt1c,Group,0.0163,0.0826,T4400,DESeq2,DMSO vs T4400,0.8833,-0.1791,Cpt1c
Cpt2,Group,0.0363,0.1396,T4400,DESeq2,DMSO vs T4400,0.9047,-0.1445,Cpt2
Cptp,Group,0.8949,0.9497,T4400,DESeq2,DMSO vs T4400,0.9903,-0.014,Cptp
Cpxm1,Group,0.1544,0.3475,DMSO,DESeq2,DMSO vs T4400,1.2947,0.3727,Cpxm1
Cpz,Group,0.0207,0.0971,T4400,DESeq2,DMSO vs T4400,0.8196,-0.2869,Cpz
Cr1l,Group,0.3781,0.595,DMSO,DESeq2,DMSO vs T4400,1.0629,0.088,Cr1l
Crabp1,Group,0.0136,0.0738,T4400,DESeq2,DMSO vs T4400,0.3784,-1.4022,Crabp1
Crabp2,Group,0.2914,0.5129,DMSO,DESeq2,DMSO vs T4400,1.0845,0.1171,Crabp2
Cracr2b,Group,0.5417,0.7268,T4400,DESeq2,DMSO vs T4400,0.9285,-0.107,Cracr2b
Cradd,Group,0.9404,0.9719,DMSO,DESeq2,DMSO vs T4400,1.0054,0.0078,Cradd
Cramp1l,Group,0.2633,0.4848,DMSO,DESeq2,DMSO vs T4400,1.0573,0.0804,Cramp1l
Crat,Group,0.6655,0.8122,T4400,DESeq2,DMSO vs T4400,0.982,-0.0263,Crat
Crbn,Group,0.1015,0.2678,DMSO,DESeq2,DMSO vs T4400,1.11,0.1505,Crbn
Crcp,Group,0.4976,0.6945,DMSO,DESeq2,DMSO vs T4400,1.0465,0.0655,Crcp
Crct1,Group,0.1781,0.3813,DMSO,DESeq2,DMSO vs T4400,2.4787,1.3096,Crct1
Creb1,Group,0.9036,0.9539,DMSO,DESeq2,DMSO vs T4400,1.014,0.02,Creb1
Creb3,Group,0.6324,0.7928,DMSO,DESeq2,DMSO vs T4400,1.0212,0.0303,Creb3
Creb3l1,Group,0.0001,0.003,T4400,DESeq2,DMSO vs T4400,0.7429,-0.4288,Creb3l1
Creb3l2,Group,0.7112,0.8418,T4400,DESeq2,DMSO vs T4400,0.9813,-0.0272,Creb3l2
Creb3l3,Group,0.2074,0.419,T4400,DESeq2,DMSO vs T4400,0.7762,-0.3655,Creb3l3
Creb3l4,Group,0.0633,0.1993,DMSO,DESeq2,DMSO vs T4400,1.634,0.7084,Creb3l4
Creb5,Group,0.0725,0.2164,DMSO,DESeq2,DMSO vs T4400,1.3986,0.484,Creb5
Crebbp,Group,0.3489,0.5692,DMSO,DESeq2,DMSO vs T4400,1.0854,0.1183,Crebbp
Crebl2,Group,0.0017,0.0199,DMSO,DESeq2,DMSO vs T4400,1.335,0.4168,Crebl2
Crebrf,Group,0.0003,0.0073,DMSO,DESeq2,DMSO vs T4400,1.9213,0.9421,Crebrf
Crebzf,Group,0.92,0.9622,DMSO,DESeq2,DMSO vs T4400,1.0069,0.0099,Crebzf
Creg1,Group,0.0005,0.0091,DMSO,DESeq2,DMSO vs T4400,1.3836,0.4684,Creg1
Creg2,Group,0.9531,0.9776,DMSO,DESeq2,DMSO vs T4400,1.0136,0.0195,Creg2
Creld1,Group,0.019,0.0919,DMSO,DESeq2,DMSO vs T4400,1.1515,0.2035,Creld1
Creld2,Group,0.0197,0.0939,DMSO,DESeq2,DMSO vs T4400,1.2686,0.3433,Creld2
Crem,Group,0.0002,0.0054,DMSO,DESeq2,DMSO vs T4400,1.2904,0.3678,Crem
Crh,Group,0.1346,0.3194,DMSO,DESeq2,DMSO vs T4400,1.8308,0.8724,Crh
Crhbp,Group,0.8886,0.9471,DMSO,DESeq2,DMSO vs T4400,1.0657,0.0917,Crhbp
Crim1,Group,0.0026,0.0256,DMSO,DESeq2,DMSO vs T4400,1.3072,0.3865,Crim1
Crip1,Group,0,0.0018,T4400,DESeq2,DMSO vs T4400,0.7428,-0.4289,Crip1
Crip2,Group,0.0001,0.0028,T4400,DESeq2,DMSO vs T4400,0.7799,-0.3587,Crip2
Cript,Group,0.763,0.875,DMSO,DESeq2,DMSO vs T4400,1.01,0.0144,Cript
Crispld1,Group,0.0249,0.1095,DMSO,DESeq2,DMSO vs T4400,2.8574,1.5147,Crispld1
Crispld2,Group,0.1019,0.2684,T4400,DESeq2,DMSO vs T4400,0.5075,-0.9784,Crispld2
Crk,Group,0.3502,0.5703,DMSO,DESeq2,DMSO vs T4400,1.0537,0.0754,Crk
Crkl,Group,0.3525,0.5723,DMSO,DESeq2,DMSO vs T4400,1.0325,0.0461,Crkl
Crlf1,Group,0,0.0013,T4400,DESeq2,DMSO vs T4400,0.5835,-0.7772,Crlf1
Crlf2,Group,0.0105,0.0621,DMSO,DESeq2,DMSO vs T4400,1.2499,0.3218,Crlf2
Crlf3,Group,0.0868,0.2424,T4400,DESeq2,DMSO vs T4400,0.8762,-0.1907,Crlf3
Crls1,Group,0.0006,0.0101,DMSO,DESeq2,DMSO vs T4400,1.1523,0.2045,Crls1
Crmp1,Group,0.3485,0.5688,T4400,DESeq2,DMSO vs T4400,0.6375,-0.6495,Crmp1
Crnde,Group,0.0000025797,0.0005,T4400,DESeq2,DMSO vs T4400,0.5896,-0.7621,Crnde
Crnkl1,Group,0.1714,0.3715,DMSO,DESeq2,DMSO vs T4400,1.0854,0.1182,Crnkl1
Crocc,Group,0.4507,0.6566,T4400,DESeq2,DMSO vs T4400,0.9257,-0.1114,Crocc
Crot,Group,0.5356,0.7222,DMSO,DESeq2,DMSO vs T4400,1.0307,0.0436,Crot
Crtap,Group,0.0516,0.1758,T4400,DESeq2,DMSO vs T4400,0.9072,-0.1405,Crtap
Crtc1,Group,0.0004,0.0081,T4400,DESeq2,DMSO vs T4400,0.8378,-0.2553,Crtc1
Crtc2,Group,0.179,0.3822,DMSO,DESeq2,DMSO vs T4400,1.0588,0.0824,Crtc2
Crtc3,Group,0.4194,0.6307,T4400,DESeq2,DMSO vs T4400,0.9666,-0.0491,Crtc3
Cry1,Group,0.0054,0.0404,DMSO,DESeq2,DMSO vs T4400,1.2417,0.3124,Cry1
Cry2,Group,0.0373,0.1423,DMSO,DESeq2,DMSO vs T4400,1.1858,0.2459,Cry2
Cryab,Group,0.1157,0.2906,T4400,DESeq2,DMSO vs T4400,0.8875,-0.1722,Cryab
Cryba4,Group,0.0064,0.0449,T4400,DESeq2,DMSO vs T4400,0.5488,-0.8658,Cryba4
Crybb3,Group,0.593,0.765,DMSO,DESeq2,DMSO vs T4400,1.1751,0.2327,Crybb3
Crybg3,Group,0.465,0.668,DMSO,DESeq2,DMSO vs T4400,1.0549,0.0771,Crybg3
Cryl1,Group,0.0003,0.0069,T4400,DESeq2,DMSO vs T4400,0.6774,-0.5619,Cryl1
Crym,Group,0.0809,0.2314,T4400,DESeq2,DMSO vs T4400,0.5826,-0.7795,Crym
Cryz,Group,0.3507,0.5706,T4400,DESeq2,DMSO vs T4400,0.9608,-0.0577,Cryz
Cryzl1,Group,0.9652,0.983,T4400,DESeq2,DMSO vs T4400,0.9973,-0.004,Cryzl1
Cs,Group,0.0052,0.0396,T4400,DESeq2,DMSO vs T4400,0.8703,-0.2005,Cs
Csad,Group,0.5473,0.7308,T4400,DESeq2,DMSO vs T4400,0.9715,-0.0417,Csad
Csdc2,Group,0.001,0.0142,T4400,DESeq2,DMSO vs T4400,0.6659,-0.5866,Csdc2
Csde1,Group,0.3217,0.5428,DMSO,DESeq2,DMSO vs T4400,1.0694,0.0968,Csde1
Cse1l,Group,0.2426,0.4608,T4400,DESeq2,DMSO vs T4400,0.9312,-0.1029,Cse1l
Csf1,Group,0.003,0.0282,T4400,DESeq2,DMSO vs T4400,0.7881,-0.3435,Csf1
Csf1r,Group,0.2794,0.501,T4400,DESeq2,DMSO vs T4400,0.834,-0.2618,Csf1r
Csf2,Group,0.0552,0.183,DMSO,DESeq2,DMSO vs T4400,3.6284,1.8593,Csf2
Csf2ra,Group,0.9239,0.9639,T4400,DESeq2,DMSO vs T4400,0.9709,-0.0427,Csf2ra
Csf2rb,Group,0.0007,0.0113,DMSO,DESeq2,DMSO vs T4400,4.4453,2.1523,Csf2rb
Csf2rb2,Group,0.1289,0.3105,DMSO,DESeq2,DMSO vs T4400,1.7942,0.8434,Csf2rb2
Csgalnact1,Group,0.0000014113,0.0004,DMSO,DESeq2,DMSO vs T4400,1.5877,0.6669,Csgalnact1
Csgalnact2,Group,0.0509,0.1742,DMSO,DESeq2,DMSO vs T4400,1.1932,0.2548,Csgalnact2
Csk,Group,0.1258,0.3067,T4400,DESeq2,DMSO vs T4400,0.9488,-0.0759,Csk
Csmd1,Group,0.2064,0.418,DMSO,DESeq2,DMSO vs T4400,1.4493,0.5354,Csmd1
Csnk1a1,Group,0.0198,0.0943,T4400,DESeq2,DMSO vs T4400,0.8785,-0.1868,Csnk1a1
Csnk1d,Group,0.4701,0.6722,DMSO,DESeq2,DMSO vs T4400,1.0231,0.0329,Csnk1d
Csnk1e,Group,0.0653,0.2033,DMSO,DESeq2,DMSO vs T4400,1.0708,0.0987,Csnk1e
Csnk1g1,Group,0.523,0.7141,T4400,DESeq2,DMSO vs T4400,0.9687,-0.0458,Csnk1g1
Csnk1g2,Group,0.6407,0.7984,T4400,DESeq2,DMSO vs T4400,0.9808,-0.028,Csnk1g2
Csnk1g3,Group,0.4534,0.6588,DMSO,DESeq2,DMSO vs T4400,1.0538,0.0756,Csnk1g3
Csnk2a1,Group,0.5278,0.7172,T4400,DESeq2,DMSO vs T4400,0.9657,-0.0504,Csnk2a1
Csnk2a2,Group,0.601,0.7706,T4400,DESeq2,DMSO vs T4400,0.9687,-0.0459,Csnk2a2
Csnk2b,Group,0.001,0.0142,T4400,DESeq2,DMSO vs T4400,0.8904,-0.1675,Csnk2b
Cspg4,Group,0.3586,0.578,DMSO,DESeq2,DMSO vs T4400,1.0627,0.0877,Cspg4
Cspg5,Group,0.538,0.724,DMSO,DESeq2,DMSO vs T4400,1.3725,0.4568,Cspg5
Cspp1,Group,0.0577,0.1882,DMSO,DESeq2,DMSO vs T4400,1.2513,0.3234,Cspp1
Csrnp1,Group,0.9963,0.9978,T4400,DESeq2,DMSO vs T4400,0.9996,-0.0005,Csrnp1
Csrnp2,Group,0.8277,0.9136,DMSO,DESeq2,DMSO vs T4400,1.0108,0.0155,Csrnp2
Csrp1,Group,0,0.0016,T4400,DESeq2,DMSO vs T4400,0.6974,-0.52,Csrp1
Csrp2,Group,0.0002,0.0057,T4400,DESeq2,DMSO vs T4400,0.5468,-0.8708,Csrp2
Csrp2bp,Group,0.7095,0.8407,T4400,DESeq2,DMSO vs T4400,0.9794,-0.03,Csrp2bp
Csrp3,Group,0.007,0.0475,T4400,DESeq2,DMSO vs T4400,0.6755,-0.566,Csrp3
Cst3,Group,0.4823,0.6814,DMSO,DESeq2,DMSO vs T4400,1.0528,0.0743,Cst3
Cst6,Group,0.0106,0.0625,DMSO,DESeq2,DMSO vs T4400,1.3228,0.4036,Cst6
Cstad,Group,0.5331,0.7206,T4400,DESeq2,DMSO vs T4400,0.8066,-0.3101,Cstad
Cstb,Group,0.0366,0.1406,DMSO,DESeq2,DMSO vs T4400,1.1994,0.2623,Cstb
Cstf1,Group,0.0076,0.05,T4400,DESeq2,DMSO vs T4400,0.8623,-0.2137,Cstf1
Cstf2,Group,0.6765,0.8197,T4400,DESeq2,DMSO vs T4400,0.9698,-0.0443,Cstf2
Cstf2t,Group,0.6117,0.7771,T4400,DESeq2,DMSO vs T4400,0.9804,-0.0286,Cstf2t
Cstf3,Group,0.3306,0.5517,T4400,DESeq2,DMSO vs T4400,0.9325,-0.1009,Cstf3
Ctage5,Group,0.0035,0.0309,DMSO,DESeq2,DMSO vs T4400,1.2876,0.3646,Ctage5
Ctbp1,Group,0.0028,0.0266,T4400,DESeq2,DMSO vs T4400,0.8729,-0.1961,Ctbp1
Ctbp2,Group,0.9093,0.9567,DMSO,DESeq2,DMSO vs T4400,1.0054,0.0078,Ctbp2
Ctbs,Group,0.931,0.9667,T4400,DESeq2,DMSO vs T4400,0.9932,-0.0099,Ctbs
Ctc1,Group,0.0167,0.0842,T4400,DESeq2,DMSO vs T4400,0.9023,-0.1483,Ctc1
Ctcf,Group,0.8223,0.9105,T4400,DESeq2,DMSO vs T4400,0.988,-0.0174,Ctcf
Ctdnep1,Group,0.9447,0.974,DMSO,DESeq2,DMSO vs T4400,1.003,0.0043,Ctdnep1
Ctdp1,Group,0.5764,0.7528,T4400,DESeq2,DMSO vs T4400,0.9699,-0.044,Ctdp1
Ctdsp1,Group,0.4572,0.662,T4400,DESeq2,DMSO vs T4400,0.9712,-0.0422,Ctdsp1
Ctdsp2,Group,0.3166,0.5379,DMSO,DESeq2,DMSO vs T4400,1.0637,0.0891,Ctdsp2
Ctdspl,Group,0.6384,0.7972,T4400,DESeq2,DMSO vs T4400,0.9697,-0.0445,Ctdspl
Ctdspl2,Group,0.8758,0.9412,DMSO,DESeq2,DMSO vs T4400,1.015,0.0214,Ctdspl2
Ctf1,Group,0.9422,0.9724,T4400,DESeq2,DMSO vs T4400,0.9935,-0.0094,Ctf1
Ctgf,Group,0.4263,0.6368,DMSO,DESeq2,DMSO vs T4400,1.2541,0.3266,Ctgf
Cth,Group,0,0.0018,DMSO,DESeq2,DMSO vs T4400,3.0741,1.6202,Cth
Cthrc1,Group,0.0053,0.0402,T4400,DESeq2,DMSO vs T4400,0.4336,-1.2055,Cthrc1
Ctif,Group,0.0923,0.2523,T4400,DESeq2,DMSO vs T4400,0.9262,-0.1106,Ctif
Ctla2a,Group,0.5331,0.7206,T4400,DESeq2,DMSO vs T4400,0.9312,-0.1028,Ctla2a
Ctla2b,Group,0.4578,0.6625,T4400,DESeq2,DMSO vs T4400,0.8986,-0.1543,Ctla2b
Ctnna1,Group,0.0034,0.0302,T4400,DESeq2,DMSO vs T4400,0.859,-0.2193,Ctnna1
Ctnnal1,Group,0.9694,0.985,T4400,DESeq2,DMSO vs T4400,0.9973,-0.0039,Ctnnal1
Ctnnb1,Group,0.5418,0.7269,DMSO,DESeq2,DMSO vs T4400,1.0234,0.0334,Ctnnb1
Ctnnbip1,Group,0.0001,0.0025,T4400,DESeq2,DMSO vs T4400,0.8205,-0.2855,Ctnnbip1
Ctnnbl1,Group,0.0086,0.0545,T4400,DESeq2,DMSO vs T4400,0.8918,-0.1652,Ctnnbl1
Ctnnd1,Group,0.0331,0.1311,T4400,DESeq2,DMSO vs T4400,0.9004,-0.1513,Ctnnd1
Ctns,Group,0.0344,0.135,DMSO,DESeq2,DMSO vs T4400,1.2057,0.2699,Ctns
Ctps,Group,0.8697,0.9386,T4400,DESeq2,DMSO vs T4400,0.9882,-0.0171,Ctps
Ctps2,Group,0.0875,0.2436,DMSO,DESeq2,DMSO vs T4400,1.1159,0.1582,Ctps2
Ctr9,Group,0.4074,0.6213,DMSO,DESeq2,DMSO vs T4400,1.0276,0.0393,Ctr9
Ctrb1,Group,0.0021,0.0223,T4400,DESeq2,DMSO vs T4400,0.5977,-0.7425,Ctrb1
Ctrl,Group,0.8707,0.9387,T4400,DESeq2,DMSO vs T4400,0.9177,-0.1239,Ctrl
Ctsa,Group,0.0001,0.003,DMSO,DESeq2,DMSO vs T4400,1.6699,0.7398,Ctsa
Ctsb,Group,0.0001,0.0045,DMSO,DESeq2,DMSO vs T4400,1.6111,0.6881,Ctsb
Ctsc,Group,0.0133,0.0725,T4400,DESeq2,DMSO vs T4400,0.6527,-0.6155,Ctsc
Ctsd,Group,0.0025,0.0251,DMSO,DESeq2,DMSO vs T4400,1.3193,0.3998,Ctsd
Ctsf,Group,0.0092,0.0569,DMSO,DESeq2,DMSO vs T4400,1.341,0.4233,Ctsf
Ctsh,Group,0.7407,0.8619,T4400,DESeq2,DMSO vs T4400,0.9712,-0.0422,Ctsh
Ctsk,Group,0.1859,0.3913,DMSO,DESeq2,DMSO vs T4400,1.5286,0.6122,Ctsk
Ctsl,Group,0.0008,0.012,DMSO,DESeq2,DMSO vs T4400,1.3673,0.4514,Ctsl
Ctso,Group,0.0768,0.2243,DMSO,DESeq2,DMSO vs T4400,1.0929,0.1282,Ctso
Ctss,Group,0.5286,0.7178,T4400,DESeq2,DMSO vs T4400,0.6927,-0.5296,Ctss
Ctsw,Group,0.0927,0.2528,T4400,DESeq2,DMSO vs T4400,0.6977,-0.5193,Ctsw
Ctsz,Group,0.1512,0.3428,DMSO,DESeq2,DMSO vs T4400,1.0835,0.1157,Ctsz
Cttn,Group,0.1212,0.2991,T4400,DESeq2,DMSO vs T4400,0.9271,-0.1092,Cttn
Cttnbp2nl,Group,0.0587,0.1896,DMSO,DESeq2,DMSO vs T4400,1.1899,0.2508,Cttnbp2nl
Ctu1,Group,0.4274,0.6376,T4400,DESeq2,DMSO vs T4400,0.9443,-0.0827,Ctu1
Ctu2,Group,0.3255,0.5461,T4400,DESeq2,DMSO vs T4400,0.9285,-0.1071,Ctu2
Ctxn1,Group,0.1124,0.285,DMSO,DESeq2,DMSO vs T4400,1.1456,0.1961,Ctxn1
Ctxn3,Group,0.0191,0.092,T4400,DESeq2,DMSO vs T4400,0.6671,-0.584,Ctxn3
Cubn,Group,0.6276,0.7894,DMSO,DESeq2,DMSO vs T4400,1.0465,0.0655,Cubn
Cuedc1,Group,0.4779,0.6779,T4400,DESeq2,DMSO vs T4400,0.964,-0.0529,Cuedc1
Cuedc2,Group,0.4695,0.672,T4400,DESeq2,DMSO vs T4400,0.9673,-0.048,Cuedc2
Cul1,Group,0.3143,0.5357,DMSO,DESeq2,DMSO vs T4400,1.0651,0.0909,Cul1
Cul2,Group,0.4643,0.6678,DMSO,DESeq2,DMSO vs T4400,1.0515,0.0725,Cul2
Cul3,Group,0.6054,0.7734,DMSO,DESeq2,DMSO vs T4400,1.045,0.0635,Cul3
Cul4a,Group,0.689,0.8274,DMSO,DESeq2,DMSO vs T4400,1.0209,0.0299,Cul4a
Cul4b,Group,0.7944,0.8946,DMSO,DESeq2,DMSO vs T4400,1.0271,0.0386,Cul4b
Cul5,Group,0.6612,0.8092,DMSO,DESeq2,DMSO vs T4400,1.05,0.0704,Cul5
Cul7,Group,0,0.0022,T4400,DESeq2,DMSO vs T4400,0.8559,-0.2245,Cul7
Cul9,Group,0.6636,0.8108,DMSO,DESeq2,DMSO vs T4400,1.13,0.1763,Cul9
Cuta,Group,0.9949,0.9974,T4400,DESeq2,DMSO vs T4400,0.9997,-0.0004,Cuta
Cutc,Group,0.1283,0.3101,DMSO,DESeq2,DMSO vs T4400,1.1259,0.171,Cutc
Cux1,Group,0.8644,0.9352,T4400,DESeq2,DMSO vs T4400,0.993,-0.0101,Cux1
Cwc15,Group,0.7768,0.8843,T4400,DESeq2,DMSO vs T4400,0.9886,-0.0165,Cwc15
Cwc22,Group,0.5344,0.7214,DMSO,DESeq2,DMSO vs T4400,1.0752,0.1046,Cwc22
Cwc25,Group,0.9722,0.9861,T4400,DESeq2,DMSO vs T4400,0.9983,-0.0024,Cwc25
Cwc27,Group,0.1241,0.3035,DMSO,DESeq2,DMSO vs T4400,1.1278,0.1735,Cwc27
Cwf19l1,Group,0.2689,0.4905,T4400,DESeq2,DMSO vs T4400,0.9293,-0.1058,Cwf19l1
Cwf19l2,Group,0.2865,0.5077,DMSO,DESeq2,DMSO vs T4400,1.1199,0.1633,Cwf19l2
Cx3cl1,Group,0.0001,0.0044,T4400,DESeq2,DMSO vs T4400,0.7896,-0.3407,Cx3cl1
Cxadr,Group,0.2,0.4098,DMSO,DESeq2,DMSO vs T4400,1.1633,0.2182,Cxadr
Cxcl1,Group,0.0004,0.0077,DMSO,DESeq2,DMSO vs T4400,3.9904,1.9965,Cxcl1
Cxcl10,Group,2.106e-7,0.0001,DMSO,DESeq2,DMSO vs T4400,2.5174,1.332,Cxcl10
Cxcl12,Group,0.0000016991,0.0004,DMSO,DESeq2,DMSO vs T4400,1.8224,0.8659,Cxcl12
Cxcl13,Group,0.0697,0.2113,T4400,DESeq2,DMSO vs T4400,0.6794,-0.5576,Cxcl13
Cxcl14,Group,0.1531,0.3453,T4400,DESeq2,DMSO vs T4400,0.4814,-1.0548,Cxcl14
Cxcl15,Group,0.9436,0.9734,DMSO,DESeq2,DMSO vs T4400,1.0263,0.0375,Cxcl15
Cxcl16,Group,0.6858,0.8254,T4400,DESeq2,DMSO vs T4400,0.976,-0.0351,Cxcl16
Cxcl5,Group,0,0.0023,DMSO,DESeq2,DMSO vs T4400,3.5311,1.8201,Cxcl5
Cxcl9,Group,0.3177,0.5387,T4400,DESeq2,DMSO vs T4400,0.7116,-0.4908,Cxcl9
Cxcr4,Group,0.0000012485,0.0003,T4400,DESeq2,DMSO vs T4400,0.6277,-0.6719,Cxcr4
Cxcr5,Group,0.8833,0.9453,DMSO,DESeq2,DMSO vs T4400,1.0265,0.0377,Cxcr5
Cxcr6,Group,0.6891,0.8275,T4400,DESeq2,DMSO vs T4400,0.923,-0.1155,Cxcr6
Cxx1a,Group,0.0538,0.1801,T4400,DESeq2,DMSO vs T4400,0.8722,-0.1973,Cxx1a
Cxx1b,Group,0.0213,0.099,T4400,DESeq2,DMSO vs T4400,0.8483,-0.2374,Cxx1b
Cxx1c,Group,0.0582,0.1889,T4400,DESeq2,DMSO vs T4400,0.8647,-0.2097,Cxx1c
Cxxc1,Group,0.2062,0.4178,T4400,DESeq2,DMSO vs T4400,0.9417,-0.0866,Cxxc1
Cxxc5,Group,0.0005,0.0089,T4400,DESeq2,DMSO vs T4400,0.7889,-0.3421,Cxxc5
Cyb561,Group,0.2175,0.4318,DMSO,DESeq2,DMSO vs T4400,1.3633,0.4471,Cyb561
Cyb561a3,Group,0.9218,0.9629,T4400,DESeq2,DMSO vs T4400,0.994,-0.0087,Cyb561a3
Cyb561d1,Group,0.6601,0.8089,DMSO,DESeq2,DMSO vs T4400,1.0316,0.0448,Cyb561d1
Cyb561d2,Group,0.8918,0.9482,DMSO,DESeq2,DMSO vs T4400,1.0093,0.0133,Cyb561d2
Cyb5a,Group,0.0124,0.0695,DMSO,DESeq2,DMSO vs T4400,1.2818,0.3582,Cyb5a
Cyb5b,Group,0.6144,0.779,DMSO,DESeq2,DMSO vs T4400,1.0154,0.022,Cyb5b
Cyb5d1,Group,0.0041,0.0343,T4400,DESeq2,DMSO vs T4400,0.7516,-0.4119,Cyb5d1
Cyb5d2,Group,0.1882,0.3944,DMSO,DESeq2,DMSO vs T4400,1.1095,0.1499,Cyb5d2
Cyb5r1,Group,0.0363,0.1396,DMSO,DESeq2,DMSO vs T4400,1.2268,0.2949,Cyb5r1
Cyb5r3,Group,0.0016,0.0187,T4400,DESeq2,DMSO vs T4400,0.8717,-0.198,Cyb5r3
Cyb5r4,Group,0.5882,0.762,DMSO,DESeq2,DMSO vs T4400,1.0286,0.0406,Cyb5r4
Cyb5rl,Group,0.9637,0.9822,DMSO,DESeq2,DMSO vs T4400,1.0058,0.0083,Cyb5rl
Cybb,Group,0.0602,0.1928,DMSO,DESeq2,DMSO vs T4400,3.0263,1.5976,Cybb
Cybrd1,Group,0.211,0.424,T4400,DESeq2,DMSO vs T4400,0.5617,-0.8322,Cybrd1
Cyc1,Group,0.001,0.0141,T4400,DESeq2,DMSO vs T4400,0.8196,-0.287,Cyc1
Cycs,Group,0.021,0.0979,T4400,DESeq2,DMSO vs T4400,0.7829,-0.353,Cycs
Cyfip1,Group,0.6252,0.7872,T4400,DESeq2,DMSO vs T4400,0.9777,-0.0325,Cyfip1
Cyfip2,Group,0.0264,0.1138,T4400,DESeq2,DMSO vs T4400,0.579,-0.7884,Cyfip2
Cygb,Group,0.3016,0.5232,T4400,DESeq2,DMSO vs T4400,0.8152,-0.2948,Cygb
Cyhr1,Group,0.842,0.9206,T4400,DESeq2,DMSO vs T4400,0.9911,-0.0129,Cyhr1
Cyld,Group,0.9063,0.9552,T4400,DESeq2,DMSO vs T4400,0.9923,-0.0111,Cyld
Cyp11a1,Group,0.6196,0.7825,T4400,DESeq2,DMSO vs T4400,0.8948,-0.1604,Cyp11a1
Cyp11b1,Group,0.1167,0.2923,T4400,DESeq2,DMSO vs T4400,0.5246,-0.9307,Cyp11b1
Cyp1a1,Group,0.8645,0.9352,DMSO,DESeq2,DMSO vs T4400,1.0707,0.0985,Cyp1a1
Cyp1b1,Group,0.3651,0.5837,T4400,DESeq2,DMSO vs T4400,0.9317,-0.102,Cyp1b1
Cyp20a1,Group,0.1277,0.3092,DMSO,DESeq2,DMSO vs T4400,1.0736,0.1025,Cyp20a1
Cyp26a1,Group,0.1413,0.3291,DMSO,DESeq2,DMSO vs T4400,1.5435,0.6262,Cyp26a1
Cyp26b1,Group,0.8148,0.9074,DMSO,DESeq2,DMSO vs T4400,1.034,0.0483,Cyp26b1
Cyp26c1,Group,0.7497,0.8676,T4400,DESeq2,DMSO vs T4400,0.839,-0.2533,Cyp26c1
Cyp27a1,Group,0.3532,0.5731,T4400,DESeq2,DMSO vs T4400,0.8761,-0.1908,Cyp27a1
Cyp27b1,Group,0.1571,0.3514,DMSO,DESeq2,DMSO vs T4400,1.4404,0.5264,Cyp27b1
Cyp2c44,Group,0.4431,0.6502,DMSO,DESeq2,DMSO vs T4400,1.2374,0.3074,Cyp2c44
Cyp2d22,Group,0.1276,0.3091,DMSO,DESeq2,DMSO vs T4400,1.0912,0.1259,Cyp2d22
Cyp2f2,Group,0.0031,0.0286,DMSO,DESeq2,DMSO vs T4400,2.472,1.3057,Cyp2f2
Cyp2j6,Group,0.0063,0.0448,DMSO,DESeq2,DMSO vs T4400,1.2901,0.3675,Cyp2j6
Cyp2j9,Group,0.7329,0.8564,T4400,DESeq2,DMSO vs T4400,0.9167,-0.1254,Cyp2j9
Cyp2s1,Group,0.0975,0.2611,T4400,DESeq2,DMSO vs T4400,0.6102,-0.7127,Cyp2s1
